crop,0
cover,1
incumb,2
elev,3
reap,4
foreclosur,5
reservoir,6
cent,7
precrisi,8
column,9
check,10
form,11
brick,12
environ,13
ineffici,14
mix,15
barley,16
gile,17
registr,18
declin,19
outlin,20
revolv,21
invad,22
review,23
anyth,24
heat,25
resal,26
thu,27
rise,28
pathfind,29
funni,30
shut,31
uncov,32
impass,33
levi,34
type,35
ponder,36
mori,37
interconnected,38
group,39
viii,40
commenc,41
avers,42
misleadingli,43
repeal,44
six,45
underrecord,46
gold,47
moor,48
west,49
nash,50
centr,51
anytim,52
step,53
easili,54
text,55
scarcer,56
armouri,57
administr,58
misinterpret,59
manpow,60
amount,61
differ,62
relief,63
edific,64
hardwar,65
pain,66
bust,67
mexican,68
lambert,69
de,70
pronounc,71
licenc,72
reportdescrib,73
wrap,74
list,75
magnifi,76
front,77
remind,78
fiction,79
statistician,80
alter,81
wheat,82
swing,83
trip,84
littl,85
brent,86
shorter,87
saudi,88
tend,89
empir,90
despit,91
basi,92
deadlin,93
properti,94
emir,95
lacklustr,96
beforehand,97
wealthi,98
hinder,99
timer,100
expir,101
protein,102
origin,103
populu,104
stimulu,105
kate,106
underpr,107
payout,108
unincorpor,109
snowfal,110
deep,111
overlap,112
bring,113
itstil,114
abid,115
compil,116
moni,117
chiefli,118
courag,119
individu,120
polit,121
backcast,122
scrutini,123
riksbank,124
hazi,125
upturn,126
rodger,127
spuriou,128
barnier,129
formerli,130
overemphasis,131
examin,132
niño,133
iceland,134
virtu,135
justifi,136
endow,137
simpl,138
connect,139
priori,140
midland,141
headwind,142
stake,143
anniversari,144
widespread,145
fade,146
uniform,147
stream,148
proce,149
underus,150
santand,151
resembl,152
spelt,153
wale,154
gcse,155
obtain,156
child,157
hollow,158
liquid,159
afghanistan,160
bulk,161
unobserv,162
financialsector,163
sonia,164
kpmg,165
estat,166
unif,167
jame,168
togeth,169
foundat,170
address,171
forese,172
fret,173
minouch,174
nickel,175
errat,176
generalis,177
sourc,178
separ,179
came,180
overrid,181
turkey,182
suggest,183
mothbal,184
sinta,185
standstil,186
understand,187
ecj,188
nh,189
repair,190
avian,191
bean,192
venezuela,193
oddli,194
carney,195
spars,196
accomplish,197
restaur,198
territori,199
score,200
embark,201
blue,202
baromet,203
reportgiven,204
contract,205
formula,206
ground,207
fuss,208
whist,209
eas,210
drawback,211
enforc,212
variant,213
funder,214
novemb,215
revolut,216
insist,217
nine,218
unravel,219
influenti,220
wari,221
unus,222
hike,223
energi,224
utilis,225
bomb,226
misl,227
falter,228
carpet,229
pocket,230
underlin,231
arabl,232
cannotimagin,233
sympathi,234
internalandexternalindebtednesscouldintensifi,235
